scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
38,BOXN Coal Rake (11600),Freight,4500t,60 km/h,EMU Local (12842),Commuter,300t,80 km/h,Kanpur Central,Medium
39,BOXN Coal Rake (12023),Freight,4500t,60 km/h,Rajdhani Express (12258),Express,600t,120 km/h,Kanpur Central,High
40,Vande Bharat Express (12633),High_Speed,430t,130 km/h,Bhopal Shatabdi (11730),Express,550t,110 km/h,Vijayawada Line,Low
41,Bhopal Shatabdi (12921),Express,550t,110 km/h,EMU Local (12048),Commuter,300t,80 km/h,Kanpur Central,High
42,EMU Local (12385),Commuter,300t,80 km/h,BOXN Coal Rake (12075),Freight,4500t,60 km/h,Kanpur Central,High
43,WAG-12 Heavy Freight (12743),Heavy Freight,6000t,75 km/h,Rajdhani Express (11256),Express,600t,120 km/h,Itarsi Junction,Low
44,BOXN Coal Rake (11633),Freight,4500t,60 km/h,Rajdhani Express (12800),Express,600t,120 km/h,Bhusawal Block,Medium
45,EMU Local (11447),Commuter,300t,80 km/h,Bhopal Shatabdi (11258),Express,550t,110 km/h,Bhusawal Block,Low
46,Vande Bharat Express (12221),High_Speed,430t,130 km/h,EMU Local (11088),Commuter,300t,80 km/h,Vijayawada Line,High
47,BOXN Coal Rake (11224),Freight,4500t,60 km/h,Vande Bharat Express (12224),High_Speed,430t,130 km/h,Vijayawada Line,Medium
48,Rajdhani Express (12185),Express,600t,120 km/h,BOXN Coal Rake (12231),Freight,4500t,60 km/h,Vijayawada Line,High
49,Bhopal Shatabdi (11738),Express,550t,110 km/h,Vande Bharat Express (11606),High_Speed,430t,130 km/h,Kanpur Central,Medium
50,Vande Bharat Express (11140),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12581),Heavy Freight,6000t,75 km/h,Kanpur Central,High
51,WAG-12 Heavy Freight (11747),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12459),High_Speed,430t,130 km/h,Itarsi Junction,Low
52,WAG-12 Heavy Freight (11168),Heavy Freight,6000t,75 km/h,EMU Local (11284),Commuter,300t,80 km/h,Vijayawada Line,Low
53,BOXN Coal Rake (11669),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11578),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
54,Vande Bharat Express (11896),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12563),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
55,Bhopal Shatabdi (12069),Express,550t,110 km/h,BOXN Coal Rake (11107),Freight,4500t,60 km/h,Nagpur Crossing,High
56,Rajdhani Express (11454),Express,600t,120 km/h,EMU Local (11259),Commuter,300t,80 km/h,Kanpur Central,Medium
57,BOXN Coal Rake (11672),Freight,4500t,60 km/h,Vande Bharat Express (12416),High_Speed,430t,130 km/h,Bhusawal Block,Low
58,Rajdhani Express (11640),Express,600t,120 km/h,EMU Local (12664),Commuter,300t,80 km/h,Itarsi Junction,High
59,EMU Local (12084),Commuter,300t,80 km/h,Bhopal Shatabdi (12053),Express,550t,110 km/h,Bhusawal Block,Low
60,WAG-12 Heavy Freight (11790),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11367),Freight,4500t,60 km/h,Vijayawada Line,High
61,Vande Bharat Express (11625),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11147),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
62,BOXN Coal Rake (12058),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12019),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
63,EMU Local (12375),Commuter,300t,80 km/h,Vande Bharat Express (12820),High_Speed,430t,130 km/h,Bhusawal Block,Low
64,Rajdhani Express (11968),Express,600t,120 km/h,Bhopal Shatabdi (11525),Express,550t,110 km/h,Bhusawal Block,Low
65,Vande Bharat Express (11870),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11789),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
66,BOXN Coal Rake (12235),Freight,4500t,60 km/h,EMU Local (11311),Commuter,300t,80 km/h,Itarsi Junction,High
67,Bhopal Shatabdi (12455),Express,550t,110 km/h,Vande Bharat Express (11669),High_Speed,430t,130 km/h,Vijayawada Line,High
68,BOXN Coal Rake (11227),Freight,4500t,60 km/h,Vande Bharat Express (12582),High_Speed,430t,130 km/h,Itarsi Junction,High
69,Rajdhani Express (12789),Express,600t,120 km/h,WAG-12 Heavy Freight (11822),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
70,Rajdhani Express (12692),Express,600t,120 km/h,EMU Local (11792),Commuter,300t,80 km/h,Itarsi Junction,Medium
71,Bhopal Shatabdi (12979),Express,550t,110 km/h,Rajdhani Express (11253),Express,600t,120 km/h,Itarsi Junction,High
72,Rajdhani Express (12591),Express,600t,120 km/h,EMU Local (11031),Commuter,300t,80 km/h,Bhusawal Block,Low
73,Rajdhani Express (11016),Express,600t,120 km/h,WAG-12 Heavy Freight (11430),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
74,EMU Local (11756),Commuter,300t,80 km/h,BOXN Coal Rake (12142),Freight,4500t,60 km/h,Kanpur Central,High
75,Rajdhani Express (11428),Express,600t,120 km/h,Vande Bharat Express (11757),High_Speed,430t,130 km/h,Nagpur Crossing,High
76,BOXN Coal Rake (12183),Freight,4500t,60 km/h,EMU Local (11498),Commuter,300t,80 km/h,Nagpur Crossing,High
77,BOXN Coal Rake (11732),Freight,4500t,60 km/h,Bhopal Shatabdi (12032),Express,550t,110 km/h,Kanpur Central,High
78,Bhopal Shatabdi (11847),Express,550t,110 km/h,BOXN Coal Rake (11804),Freight,4500t,60 km/h,Kanpur Central,Medium
79,WAG-12 Heavy Freight (11271),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11869),Express,550t,110 km/h,Vijayawada Line,High
80,Bhopal Shatabdi (12730),Express,550t,110 km/h,Rajdhani Express (11496),Express,600t,120 km/h,Nagpur Crossing,High
81,Bhopal Shatabdi (12084),Express,550t,110 km/h,BOXN Coal Rake (11198),Freight,4500t,60 km/h,Itarsi Junction,High
82,WAG-12 Heavy Freight (11935),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12396),Express,550t,110 km/h,Nagpur Crossing,Medium
83,BOXN Coal Rake (12921),Freight,4500t,60 km/h,EMU Local (12699),Commuter,300t,80 km/h,Vijayawada Line,High
84,Bhopal Shatabdi (11528),Express,550t,110 km/h,BOXN Coal Rake (11389),Freight,4500t,60 km/h,Kanpur Central,High
85,Rajdhani Express (12798),Express,600t,120 km/h,BOXN Coal Rake (12671),Freight,4500t,60 km/h,Kanpur Central,High
86,BOXN Coal Rake (11054),Freight,4500t,60 km/h,Rajdhani Express (11038),Express,600t,120 km/h,Kanpur Central,Low
87,BOXN Coal Rake (11152),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11739),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
88,Bhopal Shatabdi (11076),Express,550t,110 km/h,Rajdhani Express (11462),Express,600t,120 km/h,Itarsi Junction,High
89,EMU Local (11394),Commuter,300t,80 km/h,Vande Bharat Express (12281),High_Speed,430t,130 km/h,Bhusawal Block,High
90,Rajdhani Express (12686),Express,600t,120 km/h,Vande Bharat Express (11427),High_Speed,430t,130 km/h,Itarsi Junction,Low
91,WAG-12 Heavy Freight (11820),Heavy Freight,6000t,75 km/h,Rajdhani Express (11160),Express,600t,120 km/h,Vijayawada Line,High
92,BOXN Coal Rake (11353),Freight,4500t,60 km/h,EMU Local (12728),Commuter,300t,80 km/h,Vijayawada Line,Low
93,Vande Bharat Express (11173),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12103),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
94,EMU Local (11440),Commuter,300t,80 km/h,Bhopal Shatabdi (11613),Express,550t,110 km/h,Bhusawal Block,Medium
95,Vande Bharat Express (12642),High_Speed,430t,130 km/h,Rajdhani Express (12261),Express,600t,120 km/h,Kanpur Central,High
96,Bhopal Shatabdi (11989),Express,550t,110 km/h,BOXN Coal Rake (12888),Freight,4500t,60 km/h,Vijayawada Line,Medium
97,Rajdhani Express (11234),Express,600t,120 km/h,Vande Bharat Express (11942),High_Speed,430t,130 km/h,Kanpur Central,Medium
98,BOXN Coal Rake (11394),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11502),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
99,EMU Local (11490),Commuter,300t,80 km/h,Vande Bharat Express (12018),High_Speed,430t,130 km/h,Vijayawada Line,High
100,BOXN Coal Rake (12407),Freight,4500t,60 km/h,Bhopal Shatabdi (11399),Express,550t,110 km/h,Kanpur Central,High
101,WAG-12 Heavy Freight (12892),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12816),Freight,4500t,60 km/h,Kanpur Central,Medium
102,Vande Bharat Express (12371),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12583),Heavy Freight,6000t,75 km/h,Bhusawal Block,High
103,BOXN Coal Rake (11259),Freight,4500t,60 km/h,Vande Bharat Express (12281),High_Speed,430t,130 km/h,Vijayawada Line,Medium
104,EMU Local (11990),Commuter,300t,80 km/h,Bhopal Shatabdi (12015),Express,550t,110 km/h,Vijayawada Line,High
105,Bhopal Shatabdi (12217),Express,550t,110 km/h,EMU Local (12123),Commuter,300t,80 km/h,Bhusawal Block,Medium
106,BOXN Coal Rake (11912),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12979),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
107,Bhopal Shatabdi (11548),Express,550t,110 km/h,Vande Bharat Express (12262),High_Speed,430t,130 km/h,Itarsi Junction,Low
108,WAG-12 Heavy Freight (11234),Heavy Freight,6000t,75 km/h,Rajdhani Express (12519),Express,600t,120 km/h,Nagpur Crossing,Low
109,EMU Local (11976),Commuter,300t,80 km/h,BOXN Coal Rake (11666),Freight,4500t,60 km/h,Bhusawal Block,Low
110,Vande Bharat Express (11293),High_Speed,430t,130 km/h,EMU Local (11299),Commuter,300t,80 km/h,Vijayawada Line,High
111,Vande Bharat Express (12470),High_Speed,430t,130 km/h,BOXN Coal Rake (11728),Freight,4500t,60 km/h,Kanpur Central,Low
112,WAG-12 Heavy Freight (11475),Heavy Freight,6000t,75 km/h,Rajdhani Express (11208),Express,600t,120 km/h,Bhusawal Block,High
113,EMU Local (11873),Commuter,300t,80 km/h,Vande Bharat Express (11617),High_Speed,430t,130 km/h,Kanpur Central,Low
114,Vande Bharat Express (12337),High_Speed,430t,130 km/h,Rajdhani Express (12917),Express,600t,120 km/h,Itarsi Junction,Medium
115,Bhopal Shatabdi (12117),Express,550t,110 km/h,BOXN Coal Rake (12416),Freight,4500t,60 km/h,Kanpur Central,High
116,Vande Bharat Express (12314),High_Speed,430t,130 km/h,Rajdhani Express (12968),Express,600t,120 km/h,Kanpur Central,High
117,BOXN Coal Rake (11207),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12622),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
118,Vande Bharat Express (12941),High_Speed,430t,130 km/h,BOXN Coal Rake (12022),Freight,4500t,60 km/h,Kanpur Central,High
119,Bhopal Shatabdi (11216),Express,550t,110 km/h,BOXN Coal Rake (12342),Freight,4500t,60 km/h,Vijayawada Line,Low
120,Bhopal Shatabdi (11106),Express,550t,110 km/h,Rajdhani Express (11396),Express,600t,120 km/h,Itarsi Junction,Medium
121,Vande Bharat Express (11841),High_Speed,430t,130 km/h,BOXN Coal Rake (11111),Freight,4500t,60 km/h,Nagpur Crossing,Low
122,WAG-12 Heavy Freight (11949),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12907),Freight,4500t,60 km/h,Kanpur Central,High
123,WAG-12 Heavy Freight (12477),Heavy Freight,6000t,75 km/h,EMU Local (12809),Commuter,300t,80 km/h,Bhusawal Block,Medium
124,WAG-12 Heavy Freight (11921),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11702),Express,550t,110 km/h,Kanpur Central,Low
125,Bhopal Shatabdi (12739),Express,550t,110 km/h,Vande Bharat Express (11631),High_Speed,430t,130 km/h,Kanpur Central,High
126,WAG-12 Heavy Freight (11493),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11031),Freight,4500t,60 km/h,Nagpur Crossing,Medium
127,EMU Local (11160),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11758),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
128,EMU Local (11141),Commuter,300t,80 km/h,Vande Bharat Express (11621),High_Speed,430t,130 km/h,Itarsi Junction,Low
129,BOXN Coal Rake (11113),Freight,4500t,60 km/h,EMU Local (11433),Commuter,300t,80 km/h,Kanpur Central,Low
130,BOXN Coal Rake (12092),Freight,4500t,60 km/h,EMU Local (11277),Commuter,300t,80 km/h,Itarsi Junction,High
131,Vande Bharat Express (12116),High_Speed,430t,130 km/h,EMU Local (11862),Commuter,300t,80 km/h,Kanpur Central,High
132,Bhopal Shatabdi (12405),Express,550t,110 km/h,EMU Local (12437),Commuter,300t,80 km/h,Bhusawal Block,Low
133,Rajdhani Express (11493),Express,600t,120 km/h,EMU Local (11491),Commuter,300t,80 km/h,Kanpur Central,Medium
134,Bhopal Shatabdi (11253),Express,550t,110 km/h,Vande Bharat Express (11644),High_Speed,430t,130 km/h,Vijayawada Line,Low
135,Vande Bharat Express (12324),High_Speed,430t,130 km/h,EMU Local (11562),Commuter,300t,80 km/h,Kanpur Central,High
136,EMU Local (11595),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12865),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
137,Rajdhani Express (12867),Express,600t,120 km/h,Vande Bharat Express (12608),High_Speed,430t,130 km/h,Nagpur Crossing,Low
138,WAG-12 Heavy Freight (11574),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12847),High_Speed,430t,130 km/h,Vijayawada Line,Medium
139,EMU Local (12420),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12846),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
140,Vande Bharat Express (12321),High_Speed,430t,130 km/h,EMU Local (12323),Commuter,300t,80 km/h,Itarsi Junction,Low
141,BOXN Coal Rake (12704),Freight,4500t,60 km/h,EMU Local (12891),Commuter,300t,80 km/h,Vijayawada Line,High
142,Rajdhani Express (11632),Express,600t,120 km/h,Bhopal Shatabdi (12992),Express,550t,110 km/h,Kanpur Central,Medium
143,Bhopal Shatabdi (11906),Express,550t,110 km/h,BOXN Coal Rake (11630),Freight,4500t,60 km/h,Itarsi Junction,Medium
144,WAG-12 Heavy Freight (11128),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11880),High_Speed,430t,130 km/h,Bhusawal Block,High
145,Bhopal Shatabdi (12877),Express,550t,110 km/h,Rajdhani Express (11679),Express,600t,120 km/h,Vijayawada Line,High
146,Vande Bharat Express (11090),High_Speed,430t,130 km/h,EMU Local (12121),Commuter,300t,80 km/h,Itarsi Junction,Low
147,WAG-12 Heavy Freight (11938),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12150),High_Speed,430t,130 km/h,Bhusawal Block,Medium
148,Bhopal Shatabdi (11824),Express,550t,110 km/h,WAG-12 Heavy Freight (12825),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
149,BOXN Coal Rake (12751),Freight,4500t,60 km/h,Rajdhani Express (11974),Express,600t,120 km/h,Itarsi Junction,High
150,Bhopal Shatabdi (11078),Express,550t,110 km/h,Rajdhani Express (11424),Express,600t,120 km/h,Bhusawal Block,High
151,Rajdhani Express (12888),Express,600t,120 km/h,BOXN Coal Rake (12084),Freight,4500t,60 km/h,Kanpur Central,Low
152,Bhopal Shatabdi (11675),Express,550t,110 km/h,Rajdhani Express (11198),Express,600t,120 km/h,Kanpur Central,High
153,Vande Bharat Express (11673),High_Speed,430t,130 km/h,Bhopal Shatabdi (11343),Express,550t,110 km/h,Bhusawal Block,Medium
154,Rajdhani Express (12570),Express,600t,120 km/h,BOXN Coal Rake (12359),Freight,4500t,60 km/h,Itarsi Junction,High
155,Rajdhani Express (12451),Express,600t,120 km/h,Vande Bharat Express (12844),High_Speed,430t,130 km/h,Itarsi Junction,High
156,WAG-12 Heavy Freight (11587),Heavy Freight,6000t,75 km/h,EMU Local (11043),Commuter,300t,80 km/h,Kanpur Central,Low
157,Vande Bharat Express (12652),High_Speed,430t,130 km/h,BOXN Coal Rake (11400),Freight,4500t,60 km/h,Vijayawada Line,Low
158,WAG-12 Heavy Freight (11014),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11889),Express,550t,110 km/h,Kanpur Central,High
159,EMU Local (12116),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12044),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
160,BOXN Coal Rake (11212),Freight,4500t,60 km/h,Vande Bharat Express (11469),High_Speed,430t,130 km/h,Itarsi Junction,Medium
161,BOXN Coal Rake (12907),Freight,4500t,60 km/h,EMU Local (11191),Commuter,300t,80 km/h,Kanpur Central,High
162,Bhopal Shatabdi (12286),Express,550t,110 km/h,Vande Bharat Express (12253),High_Speed,430t,130 km/h,Kanpur Central,Low
163,Bhopal Shatabdi (11611),Express,550t,110 km/h,Vande Bharat Express (11633),High_Speed,430t,130 km/h,Kanpur Central,Low
164,Rajdhani Express (12861),Express,600t,120 km/h,EMU Local (11483),Commuter,300t,80 km/h,Vijayawada Line,Low
165,BOXN Coal Rake (12224),Freight,4500t,60 km/h,EMU Local (11399),Commuter,300t,80 km/h,Nagpur Crossing,Medium
166,BOXN Coal Rake (11664),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11934),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
167,Vande Bharat Express (11092),High_Speed,430t,130 km/h,Bhopal Shatabdi (12188),Express,550t,110 km/h,Vijayawada Line,Medium
168,Vande Bharat Express (11320),High_Speed,430t,130 km/h,BOXN Coal Rake (11829),Freight,4500t,60 km/h,Kanpur Central,High
169,Vande Bharat Express (12999),High_Speed,430t,130 km/h,EMU Local (12039),Commuter,300t,80 km/h,Vijayawada Line,Low
170,Bhopal Shatabdi (11368),Express,550t,110 km/h,Vande Bharat Express (12929),High_Speed,430t,130 km/h,Kanpur Central,High
171,BOXN Coal Rake (12272),Freight,4500t,60 km/h,Bhopal Shatabdi (12388),Express,550t,110 km/h,Itarsi Junction,High
172,EMU Local (11307),Commuter,300t,80 km/h,BOXN Coal Rake (11756),Freight,4500t,60 km/h,Kanpur Central,Low
173,EMU Local (11609),Commuter,300t,80 km/h,Rajdhani Express (11193),Express,600t,120 km/h,Vijayawada Line,High
174,WAG-12 Heavy Freight (12990),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12050),High_Speed,430t,130 km/h,Kanpur Central,Medium
175,WAG-12 Heavy Freight (12965),Heavy Freight,6000t,75 km/h,EMU Local (11860),Commuter,300t,80 km/h,Nagpur Crossing,Low
176,EMU Local (11779),Commuter,300t,80 km/h,Bhopal Shatabdi (11435),Express,550t,110 km/h,Itarsi Junction,Medium
177,Vande Bharat Express (12457),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11944),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
178,WAG-12 Heavy Freight (12469),Heavy Freight,6000t,75 km/h,Rajdhani Express (12958),Express,600t,120 km/h,Vijayawada Line,Medium
179,EMU Local (11325),Commuter,300t,80 km/h,BOXN Coal Rake (12429),Freight,4500t,60 km/h,Itarsi Junction,Low
180,Vande Bharat Express (11500),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12819),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
181,BOXN Coal Rake (12326),Freight,4500t,60 km/h,Rajdhani Express (11166),Express,600t,120 km/h,Kanpur Central,Low
182,Bhopal Shatabdi (11471),Express,550t,110 km/h,WAG-12 Heavy Freight (12066),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
183,Rajdhani Express (12017),Express,600t,120 km/h,EMU Local (11429),Commuter,300t,80 km/h,Vijayawada Line,Low
184,EMU Local (12652),Commuter,300t,80 km/h,BOXN Coal Rake (12705),Freight,4500t,60 km/h,Itarsi Junction,Low
185,Vande Bharat Express (12236),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12733),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
186,Bhopal Shatabdi (11003),Express,550t,110 km/h,Rajdhani Express (11427),Express,600t,120 km/h,Vijayawada Line,Low
187,EMU Local (12680),Commuter,300t,80 km/h,BOXN Coal Rake (11742),Freight,4500t,60 km/h,Nagpur Crossing,High
188,EMU Local (12274),Commuter,300t,80 km/h,Vande Bharat Express (12850),High_Speed,430t,130 km/h,Nagpur Crossing,Low
189,Bhopal Shatabdi (11617),Express,550t,110 km/h,EMU Local (11012),Commuter,300t,80 km/h,Vijayawada Line,Medium
190,WAG-12 Heavy Freight (12160),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12647),High_Speed,430t,130 km/h,Itarsi Junction,High
191,WAG-12 Heavy Freight (11186),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12404),Freight,4500t,60 km/h,Bhusawal Block,Medium
192,EMU Local (11763),Commuter,300t,80 km/h,Rajdhani Express (11728),Express,600t,120 km/h,Kanpur Central,Medium
193,Rajdhani Express (11901),Express,600t,120 km/h,BOXN Coal Rake (12468),Freight,4500t,60 km/h,Itarsi Junction,Medium
194,BOXN Coal Rake (11346),Freight,4500t,60 km/h,Vande Bharat Express (11511),High_Speed,430t,130 km/h,Vijayawada Line,Low
195,BOXN Coal Rake (11077),Freight,4500t,60 km/h,EMU Local (12884),Commuter,300t,80 km/h,Vijayawada Line,High
196,Bhopal Shatabdi (12756),Express,550t,110 km/h,Rajdhani Express (11370),Express,600t,120 km/h,Vijayawada Line,High
197,EMU Local (12711),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12781),Heavy Freight,6000t,75 km/h,Kanpur Central,High
198,BOXN Coal Rake (11573),Freight,4500t,60 km/h,Bhopal Shatabdi (12775),Express,550t,110 km/h,Kanpur Central,High
199,WAG-12 Heavy Freight (11559),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12414),Express,550t,110 km/h,Vijayawada Line,Medium
200,BOXN Coal Rake (12329),Freight,4500t,60 km/h,Rajdhani Express (11311),Express,600t,120 km/h,Kanpur Central,Medium
201,BOXN Coal Rake (11911),Freight,4500t,60 km/h,Vande Bharat Express (11281),High_Speed,430t,130 km/h,Vijayawada Line,Medium
